"(116.35791498455501, 39.990814553344165)"
"(116.44719854291024, 39.87359797419863)"
"(116.37886129265723, 39.84714123958981)"
"(116.50555433170263, 39.989289741930804)"
"(116.55237325483564, 39.96841410841415)"
"(116.36059035710365, 39.85788462311845)"
"(116.3152932168162, 39.968245231392544)"
"(116.37463918509528, 39.986142120696194)"
"(116.30707398518634, 40.07519851079698)"
"(117.00294076937989, 40.56677251400876)"
"(116.53360360279915, 40.09827342909123)"
"(116.28717599836224, 39.85688790246465)"
"(116.56723175537917, 39.912748785453836)"
"(116.73366836534049, 40.171075491696826)"
"(116.58173458790887, 40.06743080336315)"
"(116.42757704662084, 39.85778606633691)"
"(116.38920907416704, 39.96312128525551)"
"(116.35630309879392, 39.95095732224917)"
"(116.45559022790778, 39.897764976552054)"
"(116.32025057022389, 39.93862060808712)"
"(116.3442467030458, 40.003845096728924)"
"(116.34275453415638, 39.92059009712233)"
"(116.45898083417748, 39.85981669604827)"
"(116.4560861076826, 39.91964328753561)"
"(116.51369525233594, 39.91986660208424)"
"(116.41354423034576, 39.921974578007365)"
"(116.38322574471383, 39.97943652820748)"
"(116.12945928281694, 39.93113291980666)"
"(116.3355419662595, 39.91199165590503)"
"(116.36127120394154, 40.003590237196406)"
"(116.41870419324158, 39.927334969035584)"
"(116.12326926134861, 39.74114029167899)"
"(116.09399710055234, 39.769207088673724)"
"(116.07612687357786, 39.779181498020236)"
"(116.11074853061046, 39.720558571991035)"
"(116.26403792153462, 39.90588320104885)"
"(116.5482214315868, 40.025782811344456)"
"(116.27989868649439, 39.924625427364475)"
"(116.22533953186465, 39.88467621209366)"
"(116.25204139027491, 39.91900127501848)"
"(116.19587371293375, 39.81002302088791)"
"(116.34384257966346, 39.90502259156578)"
"(116.13935728651265, 39.75436283147069)"
"(116.19124822153684, 39.91172552613111)"
"(116.18730257852823, 39.92856635198956)"
"(116.07608518867698, 39.77927649314978)"
"(116.13663824938766, 39.72292426137763)"
"(116.07682642773915, 39.71757353629653)"
"(116.13560360144552, 39.739670981650704)"
"(116.14205140660515, 39.693868049524816)"
"(116.12335207077238, 39.72819775083812)"
"(116.26960829747469, 39.88070049256436)"
"(116.36740257647597, 39.81103663252769)"
"(116.31172962679614, 39.983524253931606)"
"(116.20063855381122, 39.81138729772007)"
"(116.16451976312678, 39.77235585459725)"
"(116.18670074124364, 39.787330702484724)"
"(116.2203069324414, 39.87160760004099)"
"(116.14789905344627, 39.807917546722365)"
"(116.1931974035795, 39.84783030756209)"
"(116.26759845867898, 39.90409701828018)"
"(116.24786877298735, 39.98239029957428)"
"(117.04315087300574, 40.16330092069326)"
"(117.12820030513329, 40.14757797821929)"
"(117.1041341157154, 40.1498808476379)"
"(117.10868053609985, 40.14468764716001)"
"(117.06947414359169, 40.16193115855448)"
"(117.122693714459, 40.1379329687886)"
"(116.2319510209503, 39.85473539049751)"
"(116.4750765190532, 39.88114097004764)"
"(116.40805975049639, 39.94828006316251)"
"(116.79129681616519, 39.810767549891516)"
"(116.77494000296602, 39.82590594291385)"
"(116.74331868035037, 39.8508891588349)"
"(116.50004826855921, 39.9185930854197)"
"(116.44817857919067, 39.819201544552556)"
"(116.39721915745321, 39.820118855146774)"
"(116.53788352338272, 39.75435522224248)"
"(116.55516635144488, 39.723999200413175)"
"(116.34676359443962, 39.975248973928615)"
"(116.56944912728193, 39.71607196287718)"
"(116.58825769353207, 39.73990446745927)"
"(116.58851460968184, 39.7587571559083)"
"(116.54293691655438, 39.763996119108754)"
"(116.43221689259285, 39.86322009213026)"
"(116.43126784272546, 39.90630316220819)"
"(116.32294856837947, 39.984459654653044)"
"(116.34727418522517, 40.084549148414936)"
"(116.23767506420259, 39.892722384328465)"
"(116.40318117523178, 39.95950767035458)"
"(116.66144581749887, 39.91242422716638)"
"(116.33122936706485, 39.962325774465256)"
"(116.42413070892786, 39.86758408380338)"
"(116.46655791743424, 39.89100153467871)"
"(116.42742297074437, 40.073190350081845)"
"(116.25166987526927, 40.04345156394159)"
"(116.24623258860225, 39.9073412335225)"
"(116.37347390229593, 39.932953475861254)"
"(116.42477784991804, 39.83957613396913)"
"(116.45737956040739, 39.931986563936604)"
"(116.49591204462635, 39.87444323873624)"
"(116.38821959385268, 40.077825692346146)"
"(116.2501108018372, 40.12070145018157)"
"(116.22764164144988, 40.21560901494193)"
"(116.49575581796796, 39.93149276856931)"
"(116.22168385278181, 40.21067069401849)"
"(116.23456620442195, 40.21380283009721)"
"(116.30273595553746, 40.040627503226915)"
"(116.3833845901935, 40.101292095569335)"
"(116.34037527593487, 40.059301238940904)"
"(116.30078450647038, 39.94193134920056)"
"(116.4144861523663, 39.89249653373728)"
"(116.27102189153132, 39.93089563014177)"
"(116.26853498806781, 40.12698403511977)"
"(116.34370262935707, 40.06084740841044)"
"(116.34630353274315, 40.03010164711795)"
"(116.41097130185146, 40.05429193752116)"
"(116.40464376769559, 40.07664015448667)"
"(116.41347214810997, 40.02903943880246)"
"(116.26672937664276, 40.124166428704015)"
"(116.26782743263118, 40.02722504683409)"
"(116.2101523197182, 39.95343422951014)"
"(116.24182608550089, 39.93698037402078)"
"(116.25548441705479, 40.15992795260594)"
"(115.92132640869141, 39.96076205749512)"
"(116.09002920430427, 39.94512226774388)"
"(116.46182059852933, 39.91511665189645)"
"(116.27252700033088, 39.91039337801745)"
"(116.39436698499, 39.719506507150506)"
"(116.34404737676667, 39.710114770616855)"
"(116.62049116975552, 40.02615807110891)"
"(116.23828585062196, 39.88842304339461)"
"(116.4261749459939, 39.857403801515474)"
"(116.31018860401602, 40.02874980778951)"
"(116.54021382043942, 40.024622410146435)"
"(116.57593757961621, 40.00451981842457)"
"(116.52536982496409, 40.03642139476557)"
"(116.30387082614997, 39.8991662900215)"
"(116.35342269312045, 39.83943604557658)"
"(116.46340850125702, 39.83729395059562)"
"(116.47779144850197, 39.91557679630032)"
"(116.40658155369003, 39.87097702886609)"
"(116.42858344309036, 39.92187661030013)"
"(116.32528840162419, 39.78275697959836)"
"(116.32216805374296, 39.84730879467213)"
"(116.32093821126267, 39.93732383408621)"
"(116.34652176658989, 39.89233106362367)"
"(116.28936688195532, 39.901923116832215)"
"(116.35612127632302, 39.79333745956174)"
"(116.23692337096243, 39.892643298453685)"
"(116.33658918744186, 39.876161654929966)"
"(116.56795168652735, 40.03649633959995)"
"(116.48054494594112, 39.908654811084006)"
"(116.56831888804746, 40.03671527804491)"
"(116.49475150448387, 40.00401348209391)"
"(116.59328671858111, 39.86289894302625)"
"(116.3690210814666, 39.86787576208711)"
"(116.55982231396945, 40.03176379949201)"
"(116.46310160322741, 39.99769667782947)"
"(116.39679622810911, 39.9900426257168)"
"(116.52019595115839, 40.028449364828234)"
"(116.45559378985905, 40.02948187088309)"
"(116.3714970955063, 39.95872116301466)"
"(116.31726693852966, 39.892597184374665)"
"(116.46715678642599, 39.967975948807165)"
"(116.57882272281856, 40.0469018142996)"
"(116.19196961933257, 39.924257091498305)"
"(116.13208039153764, 39.94287929358253)"
"(116.30326411119083, 39.94934732231765)"
"(116.27935895451918, 39.90988491643961)"
"(116.45003200374636, 39.909178358019005)"
"(116.10560597453258, 39.961885315793616)"
"(116.54988744826, 40.02485808603451)"
"(116.49513138603288, 39.92400977341194)"
"(116.42684547155963, 39.956465110715584)"
"(116.29669858835254, 39.98335532418803)"
"(116.21268493689254, 39.786196625192986)"
"(116.1929882704963, 39.748172399225204)"
"(116.21603395524255, 39.75967943290097)"
"(116.19115249549381, 39.76204254414172)"
"(116.13818030561097, 39.78945796093832)"
"(116.43963308001483, 39.57662202243381)"
"(116.34704464776851, 39.716947587227466)"
"(116.32567850833432, 39.73033423981403)"
"(116.47202702835605, 39.79816445746842)"
"(116.41280895670747, 39.59021470142115)"
"(116.41837544026257, 39.57769168507269)"
"(116.29149598082559, 40.05268141905033)"
"(116.63294617956873, 39.89832999778386)"
"(117.0873375, 39.4036775)"
"(117.12665999999999, 39.354915)"
"(117.56775999999999, 39.071650000000005)"
"(117.68762666666665, 39.06745666666667)"
"(117.33681, 39.1627)"
"(117.25653500000001, 39.17282)"
"(116.35123044418867, 40.034349341178746)"
"(116.40043823460951, 39.71935874887698)"
"(116.44069076901377, 39.830723277508596)"
"(116.34728446267275, 39.904789197068354)"
"(116.30911750104005, 40.002714107983664)"
"(116.28172630157792, 39.95717030774138)"
"(116.42964812964365, 39.85475099367676)"
"(116.50071464359911, 39.80454955804689)"
